,author,content,title
0,حبيب الله غمخور,"


د اوسنيو چارواکو لپاره د منلو وړ نه دي . 

",د هيواد د فرهنګي او تاريخي اثارو څخه ملاتړ...
1,,"
",
2,,"
",
3,,"
",
4,,"
",
5,,"
",
6,,"
",
7,,"
",
8,,"
په کندهار کي د بېنوا فرهنګي ټولني مشر تېره اوونۍ په کندهار کي د وسله والو کسانو له خوا د کندهار ښار د شپږمي ناحيې مامويت  ورپسې د امنيې قومندانۍ او وروسته څارنوالۍ ته وغوښتل شو ، هلته  ورته وويل شول د کابل لويي څارنوالۍ په څو پرله پسې مکتوبونو کي د کندهار له چارواکو غوښتي دي چي محمديار دي ژر تر ژره ونيول شي او په کابل کي دي نوموړي څارنولۍ ته وسپارل شي  ، د محمديار نه غوښتنه وشوه چي يا به ضمانت ورکوي اويا به  په کندهار کي کوم بل کس دده ضمانت کوي تر څو محمديار په کابل کي ژر تر ژره ځان لويي څارنوالۍ ته وسپاري . په کندهار کي د احمدشابابا دعلمي او کلتوري ټولني  د هوډ مجلې چلوونکي ښاغلي ولسمل دا ضمانت وکړ او محمديار ځان په کابل کي لويي څارنوالۍ ته  وسپاره  او دوې پرله پسې ورځي ترې  پوښتني او ګروېږني وشوې  ، ددې  پېښي خبرونه دنړۍ په بېلابېلو نړيوالوراډيو ګانو او انټرنټ پاڼو کي خپور شو چي د خبر په اوريدو سره په  زيات شمېر ادبي ، کلتوري ، اوعلمي ټولنو او مرکزونو په دې اړه خپل غندنليکونه اواعلاميې خپري کړې او د محمديار نيونه اوکابل ته ليږل يې سخت وغندل . محمديار ته تر اوسه  کندهار ته د بيرته تګ  اجازه نه ده ورکول شوې  ، او که چيري کندهار ته ځي بايد د څارنوالۍ له خوا د خبر په ورکولو سره بيرته ځان په کابل کي لويې محکمي ته ورسوي . محمدياراوس په کابل لويي څارنوالۍ ته د ضمانت په ورکولو ازاد ګرځيدلای شي خو  تر اوسه د خپلي دوسيې د پايلو اوريدلو لپاره د انتظار شپې تيروي . د پېښي لامل د محمديار په لاس په کندهار کي د يوه سيمينار (( کندهار د تاريخ په اوږدو کي )) پر وخت د هغې پاڼي خپرول و کوم چي د انټر نټ له يوې پاڼي نه محمديار ته په هماغه ورځ په لاس ورغلې وه . په دې پاڼه کي د ليکل شوي مقالې نوم (( په کابل کي مرموزي پلټني )) و ، په کومه کي چي په کابل کي د اطلاعات او کلتور پر وزير نيوکي شوې وې چي په کابل کي د تاريخي اثارو په لټون کي  لاس لري او يا يي غوږونه کاڼه اچولي دي . دا ليکنه دلته لوستلای شئ . ",محمديار په کابل کي د انتظار شپې ورځي تيروي 
9,,"
",
